solver,preconditioner,n_rows,n_cols,sparsity,n_channels,solve_normal_equation,condition_est_before_pc,condition_est_after_pc,min_time_normal_eq_in_s,min_time_preconditioning_in_s,min_time_solver_in_s,median_time_normal_eq_in_s,median_time_preconditioning_in_s,median_time_solver_in_s,median_memory_normal_eq_in_mb,median_memory_preconditioning_in_mb,median_memory_solver_in_mb,residual_norm,iterations,converged
crls,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.01812632,NaN,NaN,0.0258672825,NaN,NaN,17.676144,1.9352419780107664e-5,14.0,true
lu,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.016183155,NaN,NaN,0.023325539,NaN,NaN,5.972936,1.7612724188224526e-12,,true
lsmr,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.017511949,NaN,NaN,0.0264481785,NaN,NaN,9.208944,2.0682967834439046e-5,14.0,true
bicgstab,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.016779426,NaN,NaN,0.024494037,NaN,NaN,11.657984,9.075563311954756e-5,9.0,true
gmres_iterative,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
bicgstabl,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
cg,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.015987433,NaN,NaN,0.022547937,NaN,NaN,7.588592,2.4528594865471026e-5,11.0,true
dqgmres,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.016157853,NaN,NaN,0.025451027,NaN,NaN,8.45696,2.4527654445197878e-5,11.0,true
unfold_default,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.016031262,NaN,NaN,0.02213216,NaN,NaN,2.019496,0.0013886985039215562,,true
gmres,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.017087702,NaN,NaN,0.025595164,NaN,NaN,8.192768,2.452765416182725e-5,11.0,true
klu,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.015621417,NaN,NaN,0.0194550415,NaN,NaN,2.221928,1.0232571899161399e-12,,true
bilq,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,1.990491273,NaN,NaN,1.990491273,NaN,NaN,107.368296,NaN,,false
lslq,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.020142042,NaN,NaN,0.029464823,NaN,NaN,11.011056,1.654074217620097e-5,17.0,true
qr,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.018832393,NaN,NaN,0.024653219,NaN,NaN,4.759784,2.239925796241787e-12,,true
cg_iterative,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
diom,block_jacobi_krylov,6008,16,0.1664239347536618,128,true,NaN,NaN,NaN,NaN,0.017506623,NaN,NaN,0.022649512,NaN,NaN,8.401664,2.4528594946122156e-5,11.0,true
